Wiederaufnahme	O
der	O
Sitzungsperiode	O

Ich	O
erkläre	O
die	O
am	O
Donnerstag	O
,	O
den	O
28.	O
März	O
1996	O
unterbrochene	O
Sitzungsperiode	O
des	O
Europäischen	I-MISC
Parlaments	O
für	O
wiederaufgenommen	O
.	O

Begrüßung	O

Liebe	O
Kolleginnen	O
und	O
Kollegen	O
!	O
Im	O
Namen	O
unseres	O
Hauses	O
begrüße	O
ich	O
eine	O
Delegation	O
des	O
Großen	O
Ausschusses	O
des	O
finnischen	I-MISC
Reichstags	O
,	O
d.	O
h.	O
des	O
Ausschusses	O
für	O
europäische	I-MISC
Angelegenheiten	O
des	O
finnischen	I-MISC
Parlaments	O
unter	O
der	O
Leitung	O
ihres	O
Vorsitzenden	O
,	O
Herrn	O
Erkki	I-PER
Tuomioja	I-PER
.	O

Herzlich	O
willkommen	O
!	O

Wir	O
freuen	O
uns	O
über	O
diesen	O
Besuch	O
,	O
der	O
im	O
Zeichen	O
einer	O
immer	O
engeren	O
Zusammenarbeit	O
zwischen	O
uns	O
und	O
den	O
nationalen	O
Parlamenten	O
in	O
der	O
Union	O
steht	O
,	O
und	O
ich	O
wünsche	O
unseren	O
finnischen	I-MISC
Kolleginnen	O
und	O
Kollegen	O
einen	O
angenehmen	O
Aufenthalt	O
in	O
Straßburg	I-LOC
,	O
aber	O
natürlich	O
auch	O
nützliche	O
und	O
interessante	O
Gespräche	O
in	O
unserem	O
Hause	O
!	O

Genehmigung	O
des	O
Protokolls	O

Das	O
Protokoll	O
der	O
Sitzung	O
vom	O
Donnerstag	O
,	O
den	O
28.	O
März	O
1996	O
wurde	O
verteilt	O
.	O

Gibt	O
es	O
Einwände	O
?	O

Herr	O
Präsident	O
,	O
ich	O
möchte	O
Sie	O
im	O
Namen	O
der	O
Kollegen	O
vom	O
Landwirtschaftsausschuß	O
bitten	O
,	O
ein	O
paar	O
Sachen	O
bei	O
der	O
Abstimmung	O
über	O
die	O
BSE-Entschließung	I-MISC
zu	O
verbessern	O
,	O
offenbar	O
sind	O
hier	O
Fehler	O
unterlaufen	O
.	O

Die	O
Punkte	O
16	O
und	O
17	O
widersprechen	O
sich	O
jetzt	O
,	O
obwohl	O
es	O
bei	O
der	O
Abstimmung	O
anders	O
aussah	O
.	O

Ich	O
werde	O
Ihnen	O
die	O
entsprechenden	O
Anmerkungen	O
aushändigen	O
,	O
damit	O
Sie	O
das	O
eventuell	O
bei	O
der	O
Abstimmung	O
übernehmen	O
können	O
.	O

Das	O
muß	O
ich	O
erst	O
einmal	O
klären	O
,	O
Frau	O
Oomen-Ruijten	O
.	O

Das	O
kann	O
ich	O
so	O
aus	O
dem	O
Stand	O
nicht	O
sagen	O
.	O

Wir	O
werden	O
das	O
überprüfen	O
.	O

Es	O
geht	O
um	O
die	O
Erklärung	O
von	O
Herrn	O
Fischler	I-PER
zu	O
BSE	I-ORG
,	O
die	O
im	O
Protokoll	O
festgehalten	O
wurde	O
.	O

Vielleicht	O
könnten	O
die	O
Kommission	O
oder	O
Sie	O
mir	O
einen	O
Punkt	O
erläutern	O
.	O

Offensichtlich	O
bedeutet	O
die	O
Erklärung	O
von	O
Herrn	O
Fischler	I-PER
vom	O
Wochenende	O
eine	O
Änderung	O
der	O
Haltung	O
der	O
Kommission	O
.	O

Ich	O
begrüße	O
diese	O
Änderung	O
,	O
denn	O
er	O
sagte	O
,	O
daß	O
er	O
britisches	O
Rindfleisch	O
essen	O
würde	O
und	O
daß	O
das	O
Einfuhrverbot	O
insbesondere	O
aus	O
wirtschaftlichen	O
und	O
politischen	O
Gründen	O
verhängt	O
wurde	O
.	O

Herr	O
Präsident	O
,	O
könnte	O
festgestellt	O
werden	O
,	O
ob	O
er	O
das	O
tatsächlich	O
gesagt	O
hat	O
,	O
denn	O
das	O
würde	O
eine	O
Änderung	O
der	O
Haltung	O
der	O
Kommission	O
bedeuten	O
.	O

Herr	O
Kollege	O
,	O
ich	O
kann	O
nicht	O
erkennen	O
,	O
was	O
das	O
mit	O
dem	O
Protokoll	O
zu	O
tun	O
hat	O
.	O

Herr	O
Präsident	O
,	O
zum	O
gleichen	O
Punkt	O
,	O
den	O
auch	O
Herr	O
Sturdy	I-PER
angesprochen	O
hat	O
.	O

Wenn	O
Herr	O
Kommissar	I-PER
Fischler	I-PER
diese	O
